sender,whatsapp.text.body
6181094ebcc30500042878aa,For Facebook verification:\n1. GST or Incorporation or MSME ( Anyone )\n2. Telephone Bill or Electricity Bill or Bank Statement (Anyone). The Address mentioned in the document should be available on the website.\nboth the documents should contain the same business name & the same should be available on the website.
6181094ebcc30500042878aa,Change the name sir
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,done
6181094ebcc30500042878aa,wait for 3 minutes
6181094ebcc30500042878aa,its done
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,Again it got stuck at the same window
6181094ebcc30500042878aa,Let me know if any issue
6181094ebcc30500042878aa,Yes Sir
63d15c437864c9a541aa5065,Number delete from 360?
6181094ebcc30500042878aa,same process
6181094ebcc30500042878aa,Please try now sir
6181094ebcc30500042878aa,https://meet.google.com/sfn-fjzq-wzr
63d15c437864c9a541aa5065,Now Mm
6181094ebcc30500042878aa,need to connect over meet to check this sir
63d15c437864c9a541aa5065,why this error?
63d15c437864c9a541aa5065,
6181094ebcc30500042878aa,Ok sir
63d15c437864c9a541aa5065,done
6181094ebcc30500042878aa,Try this sir
6181094ebcc30500042878aa,401741
6181094ebcc30500042878aa,1 Minute
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,Incorrect OTP. Please re-check and try again
6181094ebcc30500042878aa,Done?
6181094ebcc30500042878aa,265813
6181094ebcc30500042878aa,please wait
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,
6181094ebcc30500042878aa,Yes
63d15c437864c9a541aa5065,
6181094ebcc30500042878aa,Yes Sir
63d15c437864c9a541aa5065,sure ?
6181094ebcc30500042878aa,try now with all small letters sir
63d15c437864c9a541aa5065,pls fix this
6181094ebcc30500042878aa,checking sir
63d15c437864c9a541aa5065,This same error
6181094ebcc30500042878aa,Try signup now sir
63d15c437864c9a541aa5065,facing this error
63d15c437864c9a541aa5065,"An account with the email domain 'babylou.in' already exists. For further assistance or queries, please contact our support team at support@gallabox.com."
6181094ebcc30500042878aa,Please try to signup sir
63d15c437864c9a541aa5065,Can we do it now ?
63d15c437864c9a541aa5065,HI
6181094ebcc30500042878aa,Let me know when you are trying
6181094ebcc30500042878aa,Good Morning Sir
63d15c437864c9a541aa5065,ok
6181094ebcc30500042878aa,can we try tomorrow morning
63d15c437864c9a541aa5065,?
63d15c437864c9a541aa5065,i have closed this screen
6181094ebcc30500042878aa,try this sir
6181094ebcc30500042878aa,226373
63d15c437864c9a541aa5065,Okay
6181094ebcc30500042878aa,Sure please wait
63d15c437864c9a541aa5065,I would like to get help with Activation code
63d15c437864c9a541aa5065,same error
63d15c437864c9a541aa5065,support@BABYLOU.IN
63d15c437864c9a541aa5065,"Error\nAn account with the email domain 'babylou.in' already exists. For further assistance or queries, please contact our support team at support@gallabox.com."
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,hello
642fd1655a070f5de10b6621,"Thanks for your confirmation, let us know for any further queries or concerns, We will be happy to assist you."
63d15c437864c9a541aa5065,I called him
63d15c437864c9a541aa5065,Yes
642fd1655a070f5de10b6621,"Let us know if you still have any queries, We are here to assist you."
642fd1655a070f5de10b6621,"Hi Sir,\n\nGreetings!\n\nI hope you are doing well.\n\nI believe Viswa have connected and provided updates on the 20% amount."
63d15c437864c9a541aa5065,update pls
63d15c437864c9a541aa5065,Thanks.
642fd1655a070f5de10b6621,"I believe we have provided clarity on the steps.\n\nFeel free to reach out to us for any other queries or concerns, we will be happy to assist you."
642fd1655a070f5de10b6621,"Kindly find the below documents which will be required for the Verification.\nFacebook Verification\nGSTIN / Incorporation / MSME\nTelephone bill / Electricity Bill/bank statement under business address.\nAll the above documents should bear the same details such as business name, address, phone number, and email ID and the same should be available on your website.\nKindly find the below link for the steps to raise the request with Meta\nhttps://docs.360dialog.com/docs/waba-management/meta-business-verification\nNote - Gallabox can help you with the steps, however accepting and approving the request is purely based on Meta's decision only."
642fd1655a070f5de10b6621,Let me share you the details
63d15c437864c9a541aa5065,wt all Required Documents for fb verification (id proff & wt else)
63d15c437864c9a541aa5065,
63d15c437864c9a541aa5065,sure
642fd1655a070f5de10b6621,Happy to assist you.\n\nHave a great evening sir!
